model,accuracy,timestamp,cv_mean,cv_std
LogisticRegression,0.65,2026-03-15 14:33:02.141907,,
RandomForest,0.58,2026-03-15 14:33:02.186020,,
LogisticRegression,0.65,2026-03-15 14:52:19.221156,,
RandomForest,0.58,2026-03-15 14:52:19.546657,,
LogisticRegression,0.63,2026-03-15 14:55:12.130548,,
RandomForest,0.59,2026-03-15 14:55:12.170708,,
LogisticRegression,0.64,2026-03-15 14:55:29.534800,,
RandomForest,0.57,2026-03-15 14:55:29.581523,,
LogisticRegression,0.74,2026-05-05 13:30:51.521768,,
RandomForest,0.59,2026-05-05 13:30:51.575193,,
LogisticRegression,0.65,2026-05-28 11:20:57.895818,0.6799999999999999,0.0257390753524675
RandomForest,0.66,2026-05-28 11:21:02.982062,0.655,0.0231840462387392
LogisticRegression,0.66,2026-05-28 13:31:56.721997,0.6925000000000001,0.0257390753524675
RandomForest,0.64,2026-05-28 13:31:59.930850,0.6625,0.0316227766016837
LogisticRegression,0.69,2026-05-28 13:44:45.920864,0.68,0.0422788363132194
RandomForest,0.56,2026-05-28 13:44:50.958825,0.6599999999999999,0.0215058131676065
LogisticRegression,0.76,2026-05-28 13:51:22.956601,0.6624999999999999,0.0467707173346742
RandomForest,0.67,2026-05-28 13:51:23.663473,0.6325,0.0358817502360183
LogisticRegression,0.71,2026-05-28 13:57:06.831104,0.68,0.0231840462387392
RandomForest,0.69,2026-05-28 13:57:09.033758,0.65,0.05
LogisticRegression,0.72,2026-05-28 14:04:06.858343,0.6575,0.0509901951359278
RandomForest,0.65,2026-05-28 14:04:12.268527,0.62,0.0635413251356941
LogisticRegression,0.67,2026-05-28 14:08:33.935008,0.685,0.0390512483795332
RandomForest,0.62,2026-05-28 14:08:41.149289,0.6425000000000001,0.0673609679265374
LogisticRegression,0.66,2026-05-28 14:18:07.734063,0.6799999999999999,0.0244948974278318
RandomForest,0.66,2026-05-28 14:18:08.957617,0.655,0.0322102468168128
LogisticRegression,0.68,2026-05-28 14:23:50.503214,0.6675000000000001,0.0415331193145903
RandomForest,0.63,2026-05-28 14:23:55.099549,0.64,0.0421307488658817
LogisticRegression,0.57,2026-05-30 10:33:28.078411,0.695,0.0280624304008045
LogisticRegression,0.67,2026-05-30 10:39:02.289754,0.66,0.062449979983984
RandomForest,0.7,2026-05-30 10:39:43.008625,0.6224999999999999,0.0713267130884355
LogisticRegression,0.63,2026-05-30 16:35:02.375764,0.6849999999999999,0.0639335592627221
RandomForest,0.58,2026-05-30 16:35:22.146146,0.675,0.0632455532033675
LogisticRegression,0.68,2026-05-30 16:41:41.388659,0.675,0.0518411033833193
RandomForest,0.67,2026-05-30 16:42:21.138221,0.6525000000000001,0.0382426463519458
LogisticRegression,0.68,2026-05-30 17:40:14.288714,0.6799999999999999,0.0203100960115898
RandomForest,0.63,2026-05-30 17:40:48.903899,0.635,0.0421307488658817
LogisticRegression,0.71,2026-05-30 19:15:09.665633,0.6725,0.0649037749287358
RandomForest,0.66,2026-05-30 19:16:12.286066,0.655,0.0551135192126215
LogisticRegression,0.66,2026-05-30 19:22:45.420559,0.6875,0.0362284418654736
RandomForest,0.63,2026-05-30 19:23:06.947551,0.6900000000000001,0.0508674748734395
LogisticRegression,0.61,2026-05-30 19:24:27.944676,0.675,0.0553398590529466
RandomForest,0.63,2026-05-30 19:24:42.000189,0.6625,0.0316227766016837
LogisticRegression,0.72,2026-05-30 19:57:13.196335,0.6525000000000001,0.0406201920231797
RandomForest,0.7,2026-05-30 19:57:39.025746,0.6174999999999999,0.0280624304008045
LogisticRegression,0.64,2026-05-31 11:14:32.688652,0.6875,0.0079056941504209
RandomForest,0.64,2026-05-31 11:15:12.241193,0.655,0.0244948974278317
LogisticRegression,0.69,2026-06-01 08:05:18.251597,0.675,0.0518411033833193
LogisticRegression,0.64,2026-06-01 10:34:55.029274,0.6925,0.0358817502360183
LogisticRegression,0.69,2026-06-01 10:36:24.432665,0.6799999999999999,0.0407737660757502
RandomForest,0.67,2026-06-01 10:36:52.957197,0.64,0.0254950975679639
LogisticRegression,0.67,2026-06-01 15:59:24.462492,0.6825,0.0257390753524674
RandomForest,0.63,2026-06-01 15:59:31.315700,0.66,0.0348209706929602
LogisticRegression,0.69,2026-06-01 19:22:03.274118,0.6799999999999999,0.0573367247058985
RandomForest,0.68,2026-06-01 19:22:33.363850,0.6375,0.0518411033833193
LogisticRegression,0.73,2026-06-01 21:59:08.348377,0.6599999999999999,0.0566789202437731
RandomForest,0.68,2026-06-01 21:59:32.616882,0.65,0.0547722557505166
LogisticRegression,0.67,2026-06-07 11:58:42.479038,0.6825,0.0392109678533952
RandomForest,0.67,2026-06-07 11:58:48.190637,0.6399999999999999,0.0629483915600708
XGBoost,0.65,2026-06-07 11:58:48.639258,0.6725,0.0489897948556635
LogisticRegression,0.66,2026-06-07 12:00:50.664027,0.6825,0.0478278161742724
RandomForest,0.63,2026-06-07 12:01:22.951064,0.6599999999999999,0.0609302880347696
XGBoost,0.65,2026-06-07 12:01:33.784197,0.6725,0.0456891672062426
LogisticRegression,0.68,2026-06-07 12:03:34.265309,0.675,0.0821583836257749
RandomForest,0.6,2026-06-07 12:04:04.235551,0.6525000000000001,0.0577711000414567
XGBoost,0.67,2026-06-07 12:04:24.083008,0.6699999999999999,0.0705336798983294
LogisticRegression,0.71,2026-06-07 14:45:03.707212,0.6775,0.02
RandomForest,0.66,2026-06-07 14:45:06.963902,0.645,0.0302076149339864
XGBoost,0.71,2026-06-07 14:45:07.475046,0.6625,0.0158113883008419
LogisticRegression,0.59,2026-06-07 15:00:09.952984,0.7075000000000001,0.0465026880943456
RandomForest,0.58,2026-06-07 15:00:16.024618,0.6575,0.0444409720865779
XGBoost,0.6,2026-06-07 15:00:16.830929,0.6849999999999999,0.03391164991562632
